FIPS Code,perc_hh_overcrowd,perc_belowpov150,perc_bipoc,perc_hhnovehicle,perc_approx_hs
42101000101,1.1,3.133025166923472,21.314843348741654,38.853503184713375,1.100594320933304
42101000102,2.2,6.6965826717293755,13.358646876078701,31.479591836734695,5.227082203264461
42101000200,5,19.650028686173265,60.58519793459553,36.83274021352313,22.744037373985737
42101000300,1.6,8.099131323454266,43.28053142565151,54.878568385172564,1.1314694503248413
42101000401,2.9,23.88785046728972,45.12149532710281,58.30352580480327,5.233644859813085
42101000403,0,7.25883476599809,22.636103151862464,38.547486033519554,1.364442625187611
42101000404,0,10,21.72523961661342,59.68586387434555,1.2323140118667275
42101000500,1.7,15.636244684331043,64.08243375858684,64.06619385342789,16.21571101453339
42101000600,1.2,10.286458333333334,41.015625,46.69260700389105,2.604166666666667
42101000701,0,17.653569452130604,23.242944106253457,58.59546452084857,6.719898806229742
42101000702,0,10.94306049822064,50.5338078291815,60.75016744809109,5.655821047280122
42101000801,1.3,10.720461095100864,28.12680115273775,35.36463536463536,0.658707286949362
42101000803,0.6,18.512341561040692,22.548365577051367,61.11936602278356,0
42101000805,0,6.429124709527498,27.498063516653758,53.858350951374206,4.813544317804581
42101000806,0,15.401686640035509,21.438082556591212,54.68277945619335,0.5706676811869889
42101000901,4.3,36.56509695290859,39.75069252077562,77.60829774252593,6.0678010816514965
42101000902,0.7,14.364035087719298,29.568713450292396,48.79120879120879,11.278195488721805
42101001001,1.3,10.26867868973132,9.054103790945897,36.62400975015235,4.20631999579368
42101001002,0.5,9.600893106335473,14.345520513536142,30.12211668928087,2.91056975399705
42101001101,16.3,23.07525010874293,40.99608525445846,49.7029702970297,7.332380538122165
42101001102,0.6,7.127112417340191,25.23879500367377,41.61735700197239,0.6822714390679123
42101001201,3.1,10.918343742771224,20.726347443904697,39.84007525870179,0.23132084200786493
42101001203,0,6.875320677270395,25.65418163160595,44.76504534212696,0.07329766180458844
42101001204,1.3,14.10338225909381,19.208679004467136,55.9666492965086,1.2307411796882122
42101001301,0,13.176218532404928,54.68666309587574,23.275862068965516,3.825847425204683
42101001302,0,4.9349013019739605,27.635447291054177,23.971915747241724,1.499970000599988
42101001400,0.5,18.395401149712573,35.916020994751314,40.38740920096852,8.033705859249473
42101001500,2.8,10.519840049215626,33.712703783451246,36.03185136031851,2.3728962517027727
42101001600,0,8.237232289950576,14.209225700164744,29.545454545454547,2.294657566486232
42101001700,1.5,5.742108797850906,29.61719274680994,24.52697967764541,0.8155041734625348
42101001800,0,6.96969696969697,26.727272727272727,19.629415170816443,0.8225108225108225
42101001900,0.5,18.22673620642328,43.37084820203129,25.974770642201836,1.5293517901258775
42101002000,0,15.138067061143984,65.28599605522682,39.93231810490694,10.989010989010989
42101002100,0.7,16.67371984765129,55.94583157003809,30.35175879396985,5.864216190073151
42101002200,2.9,32.34077750206782,62.117452440033084,31.08454312553373,4.903698452085549
42101002300,0.4,23.05621003029283,28.57623695725345,27.857142857142858,11.347790546713469
42101002400,0,20.905035054174633,26.237518589335032,30.554463232402675,7.223284469938389
42101002500,2.7,30.006898137502873,42.58450218441021,34.20922161626177,13.073612981637815
42101002701,1.1,18.162784611358283,35.56660560062811,29.595015576323988,16.151344075971135
42101002702,1.2,9.802586793737236,24.46108463807579,12.820512820512821,5.089305974261726
42101002801,6.5,30.491261218705716,54.06235238545111,33.55501813784764,25.237870301639788
42101002802,4.3,25.97902097902098,39.3006993006993,22.913188647746242,16.808191808191808
42101002900,3.1,14.083783089180159,29.915188897455668,25.220622387366465,2.9738958035025886
42101003001,1.8,36.11192072282134,69.39667735354124,36.94461351186853,21.568055960361413
42101003002,0,32.92336802270577,65.68905707978556,35.17196625567813,7.433436950939316
42101003100,2.8,25.453458241977277,70.75941797887184,34.21052631578947,17.91053276004442
42101003200,0,24.18970448045758,80.33841754051478,36.703044227455486,12.665123246629443
42101003300,3.1,39.357301940820875,67.92873051224944,32.63518659558264,11.363119858188263
42101003600,4,38.20679681851048,82.73318872017353,48.642266824085006,19.13025513893193
42101003701,0.8,37.916975537435135,76.55670867309118,24.665804225959466,10.351583183310389
42101003702,8.6,26.563335114911812,72.07375734901122,18.842845973416733,15.652439489959534
42101003800,0.4,10.958192677226695,15.476499610490782,14.776839565741858,11.722372667581705
42101003901,0.5,19.714433167039395,37.20970239119215,31.530922608989524,9.043768892384065
42101003902,0.7,18.195238973980437,11.884111459678907,18.246644295302012,9.569504125695307
42101004001,0,32.53909158600149,28.071481757259868,23.497267759562842,16.5230649221714
42101004002,1,13.144916540212444,26.119119878603946,19.29522990975505,12.708649468892261
42101004101,4.5,27.934413117376526,67.84643071385723,34.53634085213032,26.73750964092896
42101004103,15.7,48.22,83.2,37.94610342316096,24.971428571428575
42101004104,17.1,38.13903164728158,64.59291317284284,23.104956268221574,20.904980872522124
42101004201,5.3,20.46379170056957,41.23270951993491,16.150870406189554,13.687085900267348
42101004202,4.8,32.850416515755164,39.116262223831946,22.68041237113402,18.135251202980285
42101005400,9.6,30.879815986198963,84.07130534790109,11.363636363636363,12.568799802842356
42101005500,3.1,30.9309818551806,90.97846362557233,10.893246187363834,9.278325540831899
42101005600,1.2,30.667838312829524,95.60632688927944,36.849925705794945,14.310820989204117
42101006000,1.8,34.0527950310559,91.00931677018633,35.717155484130174,12.377994676131323
42101006100,0.3,31.997259335388833,93.66221308667352,9.449465899753493,12.43087162922723
42101006200,8,31.406463359126082,96.06281292671825,25.11182108626198,15.443136744911893
42101006300,2.6,48.018120045300115,95.87768969422423,29.8372513562387,14.851965701342824
